duration,end,vei,repose,stratovolcano,caldera,dome,shield,submarine,complex,lava_cone,pyroclastic_cone,compound,maar,explosion_crater,fissure_vent,subduction,rift,intraplate,continental,ctcrust1,elevation,volume,eruptionssince1960,avgrepose,mafic,intermediate,felsic,summit_crater,h_bw,ellip,meanslope
69.0,1,1,365,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,40.31,2697.0,95.0,30.0,513.2333333,1.0,1.0,0.0,0,0.064,2.15,11.4
1176.0,1,3,193,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,44.62,5364.0,120.0,3.0,55072.0,0.0,1.0,0.0,0,0.145,1.73,23.4
439.0,1,3,278,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,47.89,4276.0,117.0,12.0,1421.916667,0.0,1.0,0.0,0,0.095,1.36,19.5
4667.0,0,2,290,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,44.0,3562.0,79.0,8.0,2117.75,1.0,1.0,0.0,0,0.115,1.3,18.7
20.0,1,1,3508,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,15.65,1640.0,161.0,3.0,5921.666667,1.0,0.0,0.0,1,0.075,1.33,9.1
1.0,1,1,393,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,40.31,2697.0,95.0,30.0,513.2333333,1.0,1.0,0.0,0,0.064,2.15,11.4
106.0,1,2,219,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,44.62,5364.0,120.0,3.0,55072.0,0.0,1.0,0.0,0,0.145,1.73,23.4
529.0,1,3,146,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,42.92,3125.0,14.1,15.0,1148.666667,1.0,1.0,0.0,0,0.157,1.3,16.4
106.0,1,3,449,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,47.89,4276.0,117.0,12.0,1421.916667,0.0,1.0,0.0,0,0.095,1.36,19.5
75.0,1,2,1501,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,42.92,3125.0,14.1,15.0,1148.666667,1.0,1.0,0.0,0,0.157,1.3,16.4
211.0,1,2,364,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,44.0,3562.0,79.0,8.0,2117.75,1.0,1.0,0.0,0,0.115,1.3,18.7
99.0,1,3,164851,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,44.62,5364.0,120.0,3.0,55072.0,0.0,1.0,0.0,0,0.145,1.73,23.4
4.0,1,2,223,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,15.91,2361.0,420.0,8.0,2304.125,1.0,1.0,0.0,1,0.083,2.29,11.0
9.0,1,2,913,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,34.1,3058.0,31.0,23.0,847.6086957,1.0,1.0,1.0,1,0.071,1.34,8.1
83.0,1,1,185,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,40.31,2697.0,95.0,30.0,513.2333333,1.0,1.0,0.0,0,0.064,2.15,11.4
7.0,1,0,171,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,15.91,2361.0,420.0,8.0,2304.125,1.0,1.0,0.0,1,0.083,2.29,11.0
457.0,1,3,349,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,57.25,5592.0,9.8,17.0,867.1764706,0.0,1.0,0.0,0,0.149,1.38,19.1
1.0,1,1,3637,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,40.31,2697.0,95.0,30.0,513.2333333,1.0,1.0,0.0,0,0.064,2.15,11.4
724.0,1,0,635,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16.91,2745.0,193.0,7.0,2728.142857,1.0,1.0,1.0,0,0.141,1.31,16.0
15.0,1,3,220,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,15.91,2361.0,420.0,8.0,2304.125,1.0,1.0,0.0,1,0.083,2.29,11.0
231.0,1,2,290,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,47.89,4276.0,117.0,12.0,1421.916667,0.0,1.0,0.0,0,0.095,1.36,19.5
9.0,1,3,9413,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,15.65,1124.0,152.0,4.0,5542.75,1.0,0.0,0.0,1,0.038,1.17,6.0
108.0,1,3,18690,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,20.5,2381.0,8.4,1.0,18690.0,1.0,1.0,0.0,1,0.115,1.4,16.4
17.0,1,2,3688,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,15.65,1476.0,145.0,17.0,1290.470588,1.0,0.0,0.0,1,0.063,1.26,8.1
1.0,1,3,920,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,57.25,5592.0,9.8,17.0,867.1764706,0.0,1.0,0.0,0,0.149,1.38,19.1
3.0,1,2,5028,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,15.91,2361.0,420.0,8.0,2304.125,1.0,1.0,0.0,1,0.083,2.29,11.0
495.0,1,2,667,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,44.0,3562.0,79.0,8.0,2117.75,1.0,1.0,0.0,0,0.115,1.3,18.7
1237.0,1,1,133,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,39.17,2847.0,18.4,22.0,658.3636364,1.0,1.0,1.0,0,0.152,1.23,15.1
207.0,1,3,770,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,47.89,4276.0,117.0,12.0,1421.916667,0.0,1.0,0.0,0,0.095,1.36,19.5
21.0,1,2,600,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,34.1,3058.0,31.0,23.0,847.6086957,1.0,1.0,1.0,1,0.071,1.34,8.1
18.0,1,1,6267,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,47.32,3180.0,6.7,3.0,6758.666667,0.0,1.0,1.0,0,0.155,1.69,18.6
372.0,1,0,843,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16.91,2745.0,193.0,7.0,2728.142857,1.0,1.0,1.0,0,0.141,1.31,16.0
308.0,1,1,341,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,39.17,2847.0,18.4,22.0,658.3636364,1.0,1.0,1.0,0,0.152,1.23,15.1
8.0,1,2,178,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,42.92,3125.0,14.1,15.0,1148.666667,1.0,1.0,0.0,0,0.157,1.3,16.4
69.0,1,4,9667,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,44.0,3562.0,79.0,8.0,2117.75,1.0,1.0,0.0,0,0.115,1.3,18.7
2.0,1,2,646,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,57.25,5592.0,9.8,17.0,867.1764706,0.0,1.0,0.0,0,0.149,1.38,19.1
58.0,1,1,178,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,57.67,4784.0,224.0,9.0,4741.222222,0.0,1.0,0.0,0,0.083,1.45,22.3
54.0,1,2,476,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,34.1,3058.0,31.0,23.0,847.6086957,1.0,1.0,1.0,1,0.071,1.34,8.1
1.0,1,1,750,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,47.89,4276.0,117.0,12.0,1421.916667,0.0,1.0,0.0,0,0.095,1.36,19.5
6930.0,0,2,103,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,34.1,3470.0,30.1,5.0,5754.4,0.0,0.0,0.0,1,0.122,1.63,14.0
1.0,1,1,141,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,57.67,4784.0,224.0,9.0,4741.222222,0.0,1.0,0.0,0,0.083,1.45,22.3
18.0,1,1,2133,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,34.1,3470.0,30.1,5.0,5754.4,0.0,0.0,0.0,1,0.122,1.63,14.0
1.0,1,1,1477,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,30.77,2130.0,26.0,19.0,1217.315789,1.0,1.0,0.0,1,0.166,1.27,16.4
1.0,1,1,185,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,57.67,4784.0,224.0,9.0,4741.222222,0.0,1.0,0.0,0,0.083,1.45,22.3
59.0,1,2,362,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,34.1,3058.0,31.0,23.0,847.6086957,1.0,1.0,1.0,1,0.071,1.34,8.1
183.0,1,2,1371,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,57.25,5592.0,9.8,17.0,867.1764706,0.0,1.0,0.0,0,0.149,1.38,19.1
110.0,1,2,1750,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,47.08,2953.0,14.1,13.0,2007.769231,1.0,1.0,1.0,0,0.11,1.47,15.1
111.0,1,2,407,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,30.5,4095.0,920.0,4.0,3749.75,1.0,1.0,0.0,0,0.098,1.37,11.2
59.0,1,1,2479,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,47.89,4276.0,117.0,12.0,1421.916667,0.0,1.0,0.0,0,0.095,1.36,19.5
347.0,1,2,2621,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16.91,2745.0,193.0,7.0,2728.142857,1.0,1.0,1.0,0,0.141,1.31,16.0
15.0,1,2,459,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,34.1,3058.0,31.0,23.0,847.6086957,1.0,1.0,1.0,1,0.071,1.34,8.1
3565.0,1,3,26971,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,48.99,5023.0,92.0,5.0,5511.4,0.0,1.0,0.0,0,0.168,1.64,21.0
21.0,1,2,3590,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,30.5,4095.0,920.0,4.0,3749.75,1.0,1.0,0.0,0,0.098,1.37,11.2
4.0,1,1,2818,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,54.33,3977.0,115.0,7.0,3051.571429,0.0,1.0,0.0,0,0.097,1.82,19.3
9.0,1,2,681,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,34.1,3058.0,31.0,23.0,847.6086957,1.0,1.0,1.0,1,0.071,1.34,8.1
37.0,1,1,7135,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,15.65,1640.0,161.0,3.0,5921.666667,1.0,0.0,0.0,1,0.075,1.33,9.1
1023.0,1,3,293,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,57.67,4784.0,224.0,9.0,4741.222222,0.0,1.0,0.0,0,0.083,1.45,22.3
21.0,1,2,169,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,42.92,3125.0,14.1,15.0,1148.666667,1.0,1.0,0.0,0,0.157,1.3,16.4
1574.0,1,1,192,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,39.17,2847.0,18.4,22.0,658.3636364,1.0,1.0,1.0,0,0.152,1.23,15.1
214.0,1,2,825,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,35.59,1916.0,73.0,21.0,1589.857143,0.0,1.0,1.0,0,0.074,1.51,12.3
217.0,1,1,1465,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,57.67,4784.0,224.0,9.0,4741.222222,0.0,1.0,0.0,0,0.083,1.45,22.3
215.0,1,1,511,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,42.92,3125.0,14.1,15.0,1148.666667,1.0,1.0,0.0,0,0.157,1.3,16.4
5.0,1,3,829,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,34.1,3058.0,31.0,23.0,847.6086957,1.0,1.0,1.0,1,0.071,1.34,8.1
1.0,1,2,456,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,57.25,5592.0,9.8,17.0,867.1764706,0.0,1.0,0.0,0,0.149,1.38,19.1
337.0,1,1,242,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,39.17,2847.0,18.4,22.0,658.3636364,1.0,1.0,1.0,0,0.152,1.23,15.1
1.0,1,1,540,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,40.31,2697.0,95.0,30.0,513.2333333,1.0,1.0,0.0,0,0.064,2.15,11.4
8.0,1,2,1146,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,35.59,1916.0,73.0,21.0,1589.857143,0.0,1.0,1.0,0,0.074,1.51,12.3
10.0,1,2,409,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,42.92,3125.0,14.1,15.0,1148.666667,1.0,1.0,0.0,0,0.157,1.3,16.4
49.0,1,1,106,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,39.17,2847.0,18.4,22.0,658.3636364,1.0,1.0,1.0,0,0.152,1.23,15.1
55.0,1,2,15930,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.94,2829.0,392.0,2.0,11525.5,1.0,1.0,1.0,0,0.113,1.18,14.3
74.0,1,2,1372,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,15.65,1476.0,145.0,17.0,1290.470588,1.0,0.0,0.0,1,0.063,1.26,8.1
